Drug_name,Smiles
DB01110,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB01234,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
DB08814,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O
DB00661,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
DB00909,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
DB04841,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)
DB00201,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
DB00277,CN1C2=C(C(=O)N(C1=O)C)NC=N2
DB00640,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
DB00651,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
DB00996,C1CCC(CC1)(CC(=O)O)CN
DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
DB01412,CN1C=NC2=C1C(=O)NC(=O)N2C
DB00619,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
DB01254,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
DB04868,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
DB00244,C1=CC(=C(C=C1N)C(=O)O)O
DB00316,CC(=O)NC1=CC=C(C=C1)O
DB00328,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
DB00350,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
DB00461,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
DB00465,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
DB00469,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
