drug_a,drug_b,cell_line,synergy
Docetaxel,Pictilisib,EVSA-T,0
Docetaxel,Temozolomide,OCUB-M,0
Olaparib,SB216763,DiFi,0
Trametinib,Afatinib,RCM-1,0
Dasatinib,AZD7762,PA-TU-8988T,0
PD173074,Doramapimod,HCC1937,0
Palbociclib,Navitoclax,BT-483,0
Navitoclax,AZD7762,BT-20,0
Palbociclib,AZD6482,MDA-MB-468,0
Trametinib,AZD6482,HCC1569,0
Taselisib,Bortezomib,HCC1569,0
OSI-027,Camptothecin,HCC1954,0
OSI-027,Sapitinib,AU565,0
Olaparib,Pictilisib,UACC-812,0
Sapitinib,AZD8055,HCC1428,0
Sapitinib,Taselisib,SNU-175,0
SB505124,Sapitinib,SW1116,0
Afatinib,Sapitinib,T84,0
Olaparib,JQ1,BT-20,0
Lapatinib,Olaparib,PA-TU-8988T,0
LGK974,Galunisertib,YAPC,0
Palbociclib,PD173074,ZR-75-1,0
AZD8055,Trametinib,CCK-81,0
Temozolomide,Vorinostat,HCC1569,0
Bortezomib,Doramapimod,MDA-MB-468,0
Bortezomib,Sorafenib,CAL-120,0
Olaparib,SB216763,T84,0
Palbociclib,Trametinib,COLO-320-HSR,0
Dabrafenib,Palbociclib,SW1463,0
Trametinib,AZD7762,SK-CO-1,0
SB505124,Olaparib,LoVo,0
Sorafenib,LGK974,PSN1,1
Crizotinib,Navitoclax,COLO-824,0
Navitoclax,Venetoclax,AU565,0
MK-1775,NU7441,EFM-19,0
Sorafenib,AZD7762,MIA-PaCa-2,0
Lapatinib,AZD8055,HCC1428,0
Pictilisib,Alpelisib,MFM-223,0
Pictilisib,Olaparib,EFM-192A,0
Pictilisib,AZD7762,EFM-19,0
Palbociclib,AZD4547,LS-123,0
Lapatinib,Docetaxel,COLO-824,0
Trametinib,SB216763,LS-411N,0
Trametinib,Dactolisib,KP-4,0
Sapitinib,RO-3306,AU565,0
Trametinib,Dabrafenib,GP5d,0
Pictilisib,Taselisib,MDA-MB-415,0
Lapatinib,Sapitinib,MCF7,0
Olaparib,SB216763,CaR-1,0
AZD7762,Taselisib,HCC1806,0
Crizotinib,OSI-027,HCC1500,0
Olaparib,Camptothecin,HCT-116,0
Dabrafenib,AZD7762,CCK-81,0
BMS-754807,Navitoclax,SW948,0
Taselisib,Camptothecin,COLO-678,0
Sapitinib,NU7441,OCUB-M,0
MK-1775,Pictilisib,HCC1937,0
MK-1775,JQ1,BT-483,0
Paclitaxel,Palbociclib,SU8686,0
OSI-027,Paclitaxel,KP-3,0
Vorinostat,Alisertib,HCC38,0
Sapitinib,SB216763,HCC1428,0
Sapitinib,MK-1775,T47D,0
Docetaxel,Sapitinib,JIMT-1,0
AZD4547,Trametinib,SW1116,0
Palbociclib,Navitoclax,EVSA-T,0
AZD7762,Navitoclax,HPAC,0
AZD7762,Docetaxel,MRK-nu-1,0
Trametinib,OSI-027,MDA-MB-361,0
Camptothecin,Olaparib,SK-CO-1,1
Olaparib,Afatinib,EFM-192A,0
Temozolomide,BI-2536,MCF7,0
Temozolomide,NU7441,MDA-MB-453,0
Trametinib,Sapitinib,MDST8,0
Taselisib,Lapatinib,HuP-T4,0
AZD7762,Dactolisib,HPAC,0
Lapatinib,MK-1775,COLO-824,0
Afatinib,BMS-754807,MDST8,0
MK-1775,AZD7762,MDA-MB-415,0
Bortezomib,Palbociclib,CAL-85-1,0
Trametinib,OSI-027,Hs-766T,0
Olaparib,Alisertib,BT-474,0
Taselisib,Navitoclax,EFM-192A,1
