drug_a,drug_b,cell_line,synergy
Docetaxel,Pictilisib,EVSA-T,0
Cisplatin,Oxaliplatin,SUIT-2,0
5-Fluorouracil,Bortezomib,HCC2157,0
Trametinib,Afatinib,RCM-1,0
Luminespib,MK-1775,MDA-MB-330,0
Axitinib,Alisertib,MDA-MB-175-VII,0
Dasatinib,AZD7762,PA-TU-8988T,0
Oxaliplatin,OSI-027,PL4,0
5-Fluorouracil,SCH772984,HT-115,0
Linsitinib,LGK974,AsPC-1,0
Sapitinib,MK-2206,SNU-175,0
Navitoclax,AZD7762,BT-20,0
Docetaxel,GSK269962A,ZR-75-30,0
Linsitinib,Sapitinib,CAL-85-1,1
Trametinib,AZD6482,HCC1569,0
Taselisib,Bortezomib,HCC1569,0
OSI-027,Sapitinib,AU565,0
Vinorelbine,Linsitinib,LoVo,0
Gemcitabine,Lapatinib,BT-20,0
Taselisib,5-Fluorouracil,CAPAN-2,0
Cisplatin,AZD6482,HCC1569,0
Sapitinib,Taselisib,SNU-175,0
SB505124,Sapitinib,SW1116,0
Vinorelbine,LGK974,HT-29,0
Afatinib,Sapitinib,T84,0
Oxaliplatin,AZD7762,SW837,0
Gemcitabine,SCH772984,COLO-824,0
SCH772984,Dactolisib,CFPAC-1,0
Bortezomib,Linsitinib,EFM-192A,0
Trametinib,AZD7762,SK-CO-1,0
Gemcitabine,Lapatinib,MDA-MB-415,0
Navitoclax,Venetoclax,AU565,0
MK-1775,NU7441,EFM-19,0
Afatinib,Vinorelbine,COLO-205,0
Gemcitabine,Entinostat,HDQ-P1,1
LGK974,Linsitinib,SNU-407,0
Trametinib,Entinostat,BT-20,0
MK-2206,SB216763,T84,0
MK-2206,Trametinib,HT-29,0
PD173074,Gemcitabine,MCF7,0
Pictilisib,AZD7762,EFM-19,0
Lapatinib,Docetaxel,COLO-824,0
Trametinib,SB216763,LS-411N,0
Trametinib,Dactolisib,KP-4,0
Sapitinib,RO-3306,AU565,0
Trametinib,Dabrafenib,GP5d,0
Pictilisib,Taselisib,MDA-MB-415,0
Linsitinib,Dabrafenib,MDA-MB-436,0
Lapatinib,Sapitinib,MCF7,0
Gemcitabine,Linsitinib,EFM-192A,0
5-Fluorouracil,Navitoclax,MRK-nu-1,0
Cisplatin,Bortezomib,BT-20,0
AZD7762,Taselisib,HCC1806,0
Lapatinib,GSK269962A,MDA-MB-415,0
Dabrafenib,AZD7762,CCK-81,0
Luminespib,MK-2206,HDQ-P1,0
Vorinostat,GSK269962A,BT-474,0
Sapitinib,NU7441,OCUB-M,0
MK-1775,Pictilisib,HCC1937,0
MK-1775,JQ1,BT-483,0
MK-2206,PF-4708671,ZR-75-1,0
OSI-027,Paclitaxel,KP-3,0
Vorinostat,Alisertib,HCC38,0
Sapitinib,SB216763,HCC1428,0
Sapitinib,MK-1775,T47D,0
Docetaxel,Sapitinib,JIMT-1,0
Gemcitabine,SCH772984,PA-TU-8902,0
SB216763,Oxaliplatin,CW-2,0
AZD7762,Navitoclax,HPAC,0
MK-2206,Erlotinib,KP-1N,0
AZD7762,Docetaxel,MRK-nu-1,0
Gemcitabine,ZM447439,HCC1569,0
Trametinib,OSI-027,MDA-MB-361,0
Bortezomib,Cisplatin,HCC1806,0
MK-1775,5-Fluorouracil,HCC1806,0
Trametinib,Sapitinib,MDST8,0
MK-2206,Taselisib,SW48,0
Taselisib,Lapatinib,HuP-T4,0
5-Fluorouracil,Docetaxel,HCC1395,0
AZD7762,Dactolisib,HPAC,0
Lapatinib,MK-1775,COLO-824,0
Linsitinib,Dabrafenib,SW620,0
Paclitaxel,Ruxolitinib,SW1990,0
MK-1775,AZD7762,MDA-MB-415,0
Trametinib,OSI-027,Hs-766T,0
Docetaxel,Luminespib,MDA-MB-175-VII,0
Taselisib,Navitoclax,EFM-192A,1
5-Fluorouracil,PD173074,HCC1599,0
OSI-027,Gemcitabine,MDA-MB-468,0
Taselisib,Luminespib,MDA-MB-157,0
Sapitinib,Dabrafenib,NCI-H716,0
5-Fluorouracil,Gemcitabine,ZR-75-30,0
MK-2206,SB216763,HDQ-P1,0
OSI-027,Tozasertib,EFM-19,0
PD173074,Venetoclax,MDA-MB-175-VII,0
OSI-027,Vorinostat,MDA-MB-231,0
Gemcitabine,Venetoclax,HCC1428,0
Axitinib,Cisplatin,MDA-MB-415,0
Linsitinib,Dabrafenib,SNU-175,0
Dasatinib,Gemcitabine,PANC-04-03,0
Paclitaxel,Erlotinib,PANC-04-03,0
Vorinostat,Navitoclax,EFM-19,0
Cisplatin,NU7441,MDA-MB-453,0
Irinotecan,SCH772984,PANC-04-03,0
Docetaxel,Sapitinib,HCC1187,0
MK-2206,Linsitinib,KP-2,0
Cisplatin,Uprosertib,CAL-85-1,0
MK-1775,Docetaxel,MDA-MB-175-VII,0
Navitoclax,LGK974,SW1116,0
Taselisib,Vinorelbine,SNU-175,0
SCH772984,Dabrafenib,SNU-C5,0
SB505124,Vinorelbine,HT55,0
Vorinostat,KU-55933,MCF7,0
MK-2206,Erlotinib,PA-TU-8902,0
LGK974,Ruxolitinib,PANC-10-05,0
MK-1775,Linsitinib,CAL-51,0
Linsitinib,Bortezomib,OCUB-M,0
Trametinib,SCH772984,CAL-148,0
Bortezomib,Gemcitabine,T47D,0
MK-2206,PD173074,HCC1419,0
MK-2206,Tozasertib,HCC1428,0
OSI-027,AZD7762,EFM-192A,0
MK-2206,Wee1 Inhibitor,BT-20,0
Trametinib,Sapitinib,MDA-MB-361,0
Docetaxel,Sapitinib,HCC1937,0
Trametinib,Dabrafenib,CAL-120,0
Gemcitabine,Taselisib,HuP-T3,0
Dasatinib,Linsitinib,BxPC-3,1
Trametinib,AZD7762,SW1990,0
LGK974,Trametinib,MDST8,0
5-Fluorouracil,Axitinib,EFM-19,0
Vorinostat,Axitinib,HCC1599,0
